,ft_name,profile_corr,dataset,sub,test_dataset,algorithm,pert_algorithm,pert_type,pert_epsilon,pert_n,pert_ratio,pert_max_steps
1,cliptext_final,0.0576480644279152,deeprecon,AM,art,brain_diffuser,ic,friendly,,5,50-50,500
2,cliptext_tokens,0.0819487312847905,deeprecon,AM,art,brain_diffuser,ic,friendly,,5,50-50,500
3,clipvision_final,0.0574043548710954,deeprecon,AM,art,brain_diffuser,ic,friendly,,5,50-50,500
4,clipvision_patches,0.0419719807565977,deeprecon,AM,art,brain_diffuser,ic,friendly,,5,50-50,500
0,vdvae,0.0009011868319283,deeprecon,AM,test,brain_diffuser,fgsm,adversarial,0.03,5,,
1,cliptext_final,0.2356686417645258,deeprecon,AM,test,brain_diffuser,fgsm,adversarial,0.03,5,,
2,cliptext_tokens,0.2321829363523685,deeprecon,AM,test,brain_diffuser,fgsm,adversarial,0.03,5,,
3,clipvision_final,0.2043839234345359,deeprecon,AM,test,brain_diffuser,fgsm,adversarial,0.03,5,,
4,clipvision_patches,0.0777912491765614,deeprecon,AM,test,brain_diffuser,fgsm,adversarial,0.03,5,,
0,vdvae,0.0007363701676746,deeprecon,AM,art,brain_diffuser,fgsm,adversarial,0.03,5,,
1,cliptext_final,0.0576480644279152,deeprecon,AM,art,brain_diffuser,fgsm,adversarial,0.03,5,,
2,cliptext_tokens,0.0819487312847905,deeprecon,AM,art,brain_diffuser,fgsm,adversarial,0.03,5,,
3,clipvision_final,0.0563983039214358,deeprecon,AM,art,brain_diffuser,fgsm,adversarial,0.03,5,,
4,clipvision_patches,0.0435670464117463,deeprecon,AM,art,brain_diffuser,fgsm,adversarial,0.03,5,,
0,vdvae,0.0009011868319283,deeprecon,AM,test,brain_diffuser,fgsm,friendly,0.03,5,,
1,cliptext_final,0.2356686417645258,deeprecon,AM,test,brain_diffuser,fgsm,friendly,0.03,5,,
2,cliptext_tokens,0.2321829363523685,deeprecon,AM,test,brain_diffuser,fgsm,friendly,0.03,5,,
3,clipvision_final,0.199321669731314,deeprecon,AM,test,brain_diffuser,fgsm,friendly,0.03,5,,
4,clipvision_patches,0.0756630156715447,deeprecon,AM,test,brain_diffuser,fgsm,friendly,0.03,5,,
0,vdvae,0.0007363701676746,deeprecon,AM,art,brain_diffuser,fgsm,friendly,0.03,5,,
1,cliptext_final,0.0576480644279152,deeprecon,AM,art,brain_diffuser,fgsm,friendly,0.03,5,,
2,cliptext_tokens,0.0819487312847905,deeprecon,AM,art,brain_diffuser,fgsm,friendly,0.03,5,,
3,clipvision_final,0.0514422165538161,deeprecon,AM,art,brain_diffuser,fgsm,friendly,0.03,5,,
4,clipvision_patches,0.0421287745957815,deeprecon,AM,art,brain_diffuser,fgsm,friendly,0.03,5,,
0,vdvae,0.0014454535069154,deeprecon,KS,test,brain_diffuser,NO_PERT,,,,,
1,cliptext_final,0.2558476012616312,deeprecon,KS,test,brain_diffuser,NO_PERT,,,,,
2,cliptext_tokens,0.2508248721491294,deeprecon,KS,test,brain_diffuser,NO_PERT,,,,,
3,clipvision_final,0.2196085868280097,deeprecon,KS,test,brain_diffuser,NO_PERT,,,,,
4,clipvision_patches,0.0854864301989547,deeprecon,KS,test,brain_diffuser,NO_PERT,,,,,
0,vdvae,0.0010057934084659,deeprecon,KS,art,brain_diffuser,NO_PERT,,,,,
1,cliptext_final,0.03255875092825,deeprecon,KS,art,brain_diffuser,NO_PERT,,,,,
2,cliptext_tokens,0.051260208718276,deeprecon,KS,art,brain_diffuser,NO_PERT,,,,,
3,clipvision_final,0.0347333832324695,deeprecon,KS,art,brain_diffuser,NO_PERT,,,,,
4,clipvision_patches,0.0450588054462712,deeprecon,KS,art,brain_diffuser,NO_PERT,,,,,
0,vdvae,0.0014454535069154,deeprecon,KS,test,brain_diffuser,fgsm,friendly,0,5,,
1,cliptext_final,0.2558476012616312,deeprecon,KS,test,brain_diffuser,fgsm,friendly,0,5,,
2,cliptext_tokens,0.2508248721491294,deeprecon,KS,test,brain_diffuser,fgsm,friendly,0,5,,
3,clipvision_final,0.2253354883533369,deeprecon,KS,test,brain_diffuser,fgsm,friendly,0,5,,
4,clipvision_patches,0.0781524017761851,deeprecon,KS,test,brain_diffuser,fgsm,friendly,0,5,,
0,vdvae,0.0010057934084659,deeprecon,KS,art,brain_diffuser,fgsm,friendly,0,5,,
