,dataset_name,name,sub,im,inceptionv3_avgpool,clip_final,alexnet_2,alexnet_5,efficientnet_avgpool,swav_avgpool,PixCorr,SSIM,dreamsim,clip_dist,dataset,test_dataset,algorithm,pert_algorithm,pert_type,pert_epsilon,pert_n,pert_ratio,pert_max_steps
30,deeprecon,art_ic_friendly_80-20_500_5,ES,31,0.9487179487179488,0.5128205128205128,0.7435897435897436,0.8717948717948718,0.9852907,0.593897,0.0927317025806237,0.5473559687183301,0.8717418909072876,0.4676204323768616,deeprecon,art,brain_diffuser,ic,friendly,,5,80-20,500
31,deeprecon,art_ic_friendly_80-20_500_5,ES,32,0.5897435897435898,0.0769230769230769,0.8461538461538461,1.0,1.0478723,0.7048718,0.1844744566380297,0.2190514949128149,0.8526998162269592,0.5377563238143921,deeprecon,art,brain_diffuser,ic,friendly,,5,80-20,500
32,deeprecon,art_ic_friendly_80-20_500_5,ES,33,0.1794871794871795,0.4102564102564102,0.9230769230769232,1.0,0.9908496,0.62500787,0.1964105720456132,0.4715800175217334,0.8563134074211121,0.5522480607032776,deeprecon,art,brain_diffuser,ic,friendly,,5,80-20,500
33,deeprecon,art_ic_friendly_80-20_500_5,ES,34,0.1025641025641025,0.8974358974358975,0.7435897435897436,0.7948717948717948,0.8776009,0.5231533,0.1086532627798911,0.4853187508922249,0.9246960282325744,0.3903464674949646,deeprecon,art,brain_diffuser,ic,friendly,,5,80-20,500
34,deeprecon,art_ic_friendly_80-20_500_5,ES,35,0.5897435897435898,0.6666666666666666,0.5128205128205128,0.2307692307692307,0.97847766,0.75834644,0.0318994904275865,0.2158837945268926,0.9142205715179444,0.4864550232887268,deeprecon,art,brain_diffuser,ic,friendly,,5,80-20,500
35,deeprecon,art_ic_friendly_80-20_500_5,ES,36,1.0,0.9230769230769232,0.717948717948718,0.3076923076923077,0.97861576,0.71596396,-0.0057964333869867,0.208800175891037,0.9203931093215942,0.5193842649459839,deeprecon,art,brain_diffuser,ic,friendly,,5,80-20,500
36,deeprecon,art_ic_friendly_80-20_500_5,ES,37,0.6923076923076923,0.1025641025641025,0.4871794871794871,0.7692307692307693,1.0077015,0.65357625,0.0730709184442012,0.4828776675005167,0.9039111733436584,0.4149500131607055,deeprecon,art,brain_diffuser,ic,friendly,,5,80-20,500
37,deeprecon,art_ic_friendly_80-20_500_5,ES,38,0.4871794871794871,0.2307692307692307,0.0256410256410256,0.6153846153846154,1.0502939,0.72704446,0.0378230438671706,0.0937750947887266,0.8881109356880188,0.502360463142395,deeprecon,art,brain_diffuser,ic,friendly,,5,80-20,500
38,deeprecon,art_ic_friendly_80-20_500_5,ES,39,0.6153846153846154,0.8717948717948718,0.1794871794871795,0.6410256410256411,0.9957446,0.75361985,-0.2628854531593546,0.1330427242683091,0.968341588973999,0.4140875935554504,deeprecon,art,brain_diffuser,ic,friendly,,5,80-20,500
39,deeprecon,art_ic_friendly_80-20_500_5,ES,40,0.3076923076923077,0.7948717948717948,0.9743589743589745,0.9230769230769232,0.97744393,0.68501335,0.0172709140857876,0.0549557720777776,0.940098762512207,0.4484057426452636,deeprecon,art,brain_diffuser,ic,friendly,,5,80-20,500
