ft_name,profile_corr,dropout_algorithm,dropout_ratio,dropout_trial,dataset,sub,test_dataset,algorithm
clipvision_final,0.1633147556916457,dropout-dreamsim,0.25,55,deeprecon,AM,test,brain_diffuser
clipvision_patches,0.0516323527671034,dropout-dreamsim,0.25,55,deeprecon,AM,test,brain_diffuser
vdvae,0.0009655417867026,dropout-dreamsim,0.25,55,deeprecon,AM,art,brain_diffuser
cliptext_final,0.0158592342624124,dropout-dreamsim,0.25,55,deeprecon,AM,art,brain_diffuser
cliptext_tokens,0.0319642749788714,dropout-dreamsim,0.25,55,deeprecon,AM,art,brain_diffuser
clipvision_final,0.0388566302775062,dropout-dreamsim,0.25,55,deeprecon,AM,art,brain_diffuser
clipvision_patches,0.0380946721691359,dropout-dreamsim,0.25,55,deeprecon,AM,art,brain_diffuser
vdvae,6.271848410143614e-06,dropout-clipvision,0.25,88,deeprecon,AM,test,brain_diffuser
cliptext_final,0.1780531760627894,dropout-clipvision,0.25,88,deeprecon,AM,test,brain_diffuser
cliptext_tokens,0.1741119683842996,dropout-clipvision,0.25,88,deeprecon,AM,test,brain_diffuser
clipvision_final,0.1556044793714235,dropout-clipvision,0.25,88,deeprecon,AM,test,brain_diffuser
clipvision_patches,0.0515683188356714,dropout-clipvision,0.25,88,deeprecon,AM,test,brain_diffuser
vdvae,0.0010639878004153,dropout-clipvision,0.25,88,deeprecon,AM,art,brain_diffuser
cliptext_final,0.0330556444871007,dropout-clipvision,0.25,88,deeprecon,AM,art,brain_diffuser
cliptext_tokens,0.0503251740570721,dropout-clipvision,0.25,88,deeprecon,AM,art,brain_diffuser
clipvision_final,0.0467643969917223,dropout-clipvision,0.25,88,deeprecon,AM,art,brain_diffuser
clipvision_patches,0.0402148484732304,dropout-clipvision,0.25,88,deeprecon,AM,art,brain_diffuser
vdvae,0.0004078043578394,dropout-random,0.25,33,deeprecon,AM,test,brain_diffuser
cliptext_final,0.1780984837945878,dropout-random,0.25,33,deeprecon,AM,test,brain_diffuser
cliptext_tokens,0.1714603569592107,dropout-random,0.25,33,deeprecon,AM,test,brain_diffuser
clipvision_final,0.1588962818622188,dropout-random,0.25,33,deeprecon,AM,test,brain_diffuser
clipvision_patches,0.0501695838238833,dropout-random,0.25,33,deeprecon,AM,test,brain_diffuser
vdvae,0.0003616110553982,dropout-random,0.25,33,deeprecon,AM,art,brain_diffuser
cliptext_final,0.036809392663568,dropout-random,0.25,33,deeprecon,AM,art,brain_diffuser
cliptext_tokens,0.0548035631160274,dropout-random,0.25,33,deeprecon,AM,art,brain_diffuser
clipvision_final,0.0482109030348993,dropout-random,0.25,33,deeprecon,AM,art,brain_diffuser
clipvision_patches,0.0327697227649701,dropout-random,0.25,33,deeprecon,AM,art,brain_diffuser
vdvae,0.0003884912861167,dropout-pixels,0.25,44,deeprecon,AM,test,brain_diffuser
cliptext_final,0.1869517536570846,dropout-pixels,0.25,44,deeprecon,AM,test,brain_diffuser
cliptext_tokens,0.1865654497773256,dropout-pixels,0.25,44,deeprecon,AM,test,brain_diffuser
clipvision_final,0.157145725990295,dropout-pixels,0.25,44,deeprecon,AM,test,brain_diffuser
clipvision_patches,0.0511012364570436,dropout-pixels,0.25,44,deeprecon,AM,test,brain_diffuser
vdvae,0.0010680248437799,dropout-pixels,0.25,44,deeprecon,AM,art,brain_diffuser
cliptext_final,0.0357349499987828,dropout-pixels,0.25,44,deeprecon,AM,art,brain_diffuser
cliptext_tokens,0.0558196431850801,dropout-pixels,0.25,44,deeprecon,AM,art,brain_diffuser
